side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
5,1,1.9306977288832496e-05,0.01,31,11556,6.5613736650000005,0.211657215,225592
5,1,2.682695795279722e-05,0.01,36,10993,7.24845132,0.20134587,225592
5,1,3.727593720314938e-05,0.01,44,10441,8.41438356,0.19123599,225592
5,1,5.1794746792312125e-05,0.01,55,9908,9.981075225,0.181474095,225592
5,1,7.196856730011514e-05,0.01,72,9385,12.3764652,0.17189535,225592
5,1,0.0001,0.01,101,8818,16.312585245,0.161510745,220984
5,1,0.0001389495494373136,0.01,170,7197,22.409642911111114,0.1318214288888889,220102
5,1,0.00019306977288832496,0.01,329,5180,31.215544309444443,0.09488007388888889,199910
5,1,0.0002682695795279722,0.01,639,3728,43.63406388,0.06828492,193858
5,1,0.0003727593720314938,0.01,1239,2683,60.891578055,0.049145745,193858
5,1,0.0005179474679231202,0.01,2407,1931,72.52802353777777,0.030132124444444443,203632
5,1,0.0007196856730011514,0.01,4680,1390,101.5167946,0.021691622777777777,174704
5,1,0.001,0.01,9108,1001,142.28048538,0.015621485,173260
5,1,0.001389495494373136,0.01,17775,720,199.74508125,0.011237416666666666,169164
5,1,0.0019306977288832496,0.01,34743,518,280.92772884,0.00808588,151660
5,1,0.002682695795279722,0.01,67997,373,395.94454775416665,0.005822970833333333,146986
5,1,0.003727593720314938,0.01,133217,269,559.5643537575,0.0042003975,146986
5,1,0.005179474679231202,0.01,261733,194,792.781986638889,0.0030289722222222224,145830
5,1,0.007196856730011514,0.01,518979,139,1126.6414198416667,0.0021708805555555556,145830
5,1,0.01,0.01,1019256,101,1608.2962168466668,0.0015779119444444445,141668
5,2,1e-09,0.01,5,26903,1.5968389680555557,0.3193677936111111,618940
5,2,1.389495494373136e-09,0.01,5,26497,1.5727411763888888,0.31454823527777775,595356
5,2,1.9306977288832536e-09,0.01,5,26084,1.5482279055555557,0.3096455811111111,581020
5,2,2.6826957952797275e-09,0.01,5,25666,1.5234178638888891,0.3046835727777778,581020
5,2,3.727593720314938e-09,0.01,6,25241,1.7978308116666666,0.2996384686111111,581020
5,2,5.179474679231202e-09,0.01,6,24811,1.7672040616666664,0.29453401027777776,581020
5,2,7.1968567300115284e-09,0.01,6,24373,1.7360075116666667,0.2893345852777778,567708
5,2,1e-08,0.01,6,23929,1.7043836116666666,0.2840639352777778,545628
5,2,1.389495494373136e-08,0.01,6,23478,1.6722611366666666,0.2787101894444444,532316
5,2,1.9306977288832496e-08,0.01,7,23019,1.9128303386111112,0.27326147694444447,532316
5,2,2.682695795279727e-08,0.01,7,22552,1.659850346388889,0.23712147805555556,531868
5,2,3.7275937203149377e-08,0.01,7,22077,1.6248907422222223,0.2321272488888889,483164
5,2,5.1794746792312124e-08,0.01,8,21594,1.816391251111111,0.2270489063888889,483164
5,2,7.196856730011513e-08,0.01,8,21102,1.7750074911111111,0.2218759363888889,483164
5,2,1e-07,0.01,8,20602,1.7329508244444445,0.21661885305555556,450300
5,2,1.389495494373136e-07,0.01,9,20092,1.9013096525000002,0.21125662805555556,438012
5,2,1.9306977288832497e-07,0.01,9,19573,1.8521979800000001,0.20579977555555556,438012
5,2,2.6826957952797275e-07,0.01,10,19044,2.002377813888889,0.2002377813888889,438012
5,2,3.727593720314938e-07,0.01,10,18506,1.9458115972222223,0.19458115972222223,438012
5,2,5.179474679231202e-07,0.01,11,17959,2.0771290161111113,0.18882991055555556,438012
5,2,7.196856730011514e-07,0.01,11,17402,2.0127087169444446,0.18297351972222223,407676
5,2,1e-06,0.01,12,16837,2.124396186666667,0.17703301555555556,407676
5,2,1.389495494373136e-06,0.01,13,16263,2.222962328888889,0.17099710222222222,394296
5,2,1.9306977288832498e-06,0.01,14,15682,2.3084371994444446,0.1648883713888889,394296
5,2,2.6826957952797274e-06,0.01,15,15095,2.073555,0.138237,392504
5,2,3.727593720314938e-06,0.01,17,14503,2.2578679200000003,0.13281576,351288
5,2,5.179474679231202e-06,0.01,19,13909,2.420147895,0.127376205,351288
5,2,7.196856730011514e-06,0.01,21,13314,2.5604773425,0.1219274925,351288
5,2,1e-05,0.01,23,12721,2.6794331849999997,0.116497095,323832
5,2,1.3894954943731361e-05,0.01,27,12134,3.0002843475,0.1111216425,313592
5,2,1.9306977288832496e-05,0.01,31,11556,3.2806868325000003,0.1058286075,313592
5,2,2.682695795279722e-05,0.01,36,10993,3.62422566,0.100672935,313592
5,2,3.727593720314938e-05,0.01,44,10441,4.20719178,0.095617995,313592
5,2,5.1794746792312125e-05,0.01,55,9908,4.9905376125,0.0907370475,313592
5,2,7.196856730011514e-05,0.01,72,9385,6.1882326,0.085947675,304376
5,2,0.0001,0.01,101,8818,8.1562926225,0.0807553725,288632
5,2,0.0001389495494373136,0.01,170,7197,11.204821455555557,0.06591071444444445,287910
5,2,0.00019306977288832496,0.01,329,5180,15.607772154722221,0.047440036944444444,278694
5,2,0.0002682695795279722,0.01,639,3728,21.81703194,0.03414246,277250
5,2,0.0003727593720314938,0.01,1239,2683,30.4457890275,0.0245728725,277250
5,2,0.0005179474679231202,0.01,2407,1931,36.264011768888885,0.015066062222222221,273200
5,2,0.0007196856730011514,0.01,4680,1390,50.7583973,0.010845811388888888,239664
5,2,0.001,0.01,9108,1001,71.14024269,0.0078107425,238220
5,2,0.001389495494373136,0.01,17775,720,99.872540625,0.005618708333333333,216620
5,2,0.0019306977288832496,0.01,34743,518,140.46386442,0.00404294,208428
5,2,0.002682695795279722,0.01,67997,373,197.97228332111112,0.0029114855555555557,207850
5,2,0.003727593720314938,0.01,133217,269,279.78219538111114,0.002100198888888889,207850
5,2,0.005179474679231202,0.01,261733,194,396.3909933194445,0.0015144861111111112,206694
5,2,0.007196856730011514,0.01,518979,139,563.3207099208333,0.0010854402777777778,196070
5,2,0.01,0.01,1019256,101,804.1482499866667,0.0007889561111111111,187428
10,1,1e-09,0.01,6,95129,26.064658171666668,4.344109695277778,1032790
10,1,1.389495494373136e-09,0.01,6,93505,25.619695704999998,4.269949284166667,1025110
10,1,1.9306977288832536e-09,0.01,7,91850,29.36061274611111,4.194373249444444,923990
10,1,2.6826957952797275e-09,0.01,7,90177,28.825826678055556,4.117975239722222,916822
10,1,3.727593720314938e-09,0.01,7,88477,28.2824098725,4.0403442675,916822
10,1,5.179474679231202e-09,0.01,7,86747,27.729403358611112,3.9613433369444446,916822
10,1,7.1968567300115284e-09,0.01,8,84987,31.047779584444445,3.8809724480555556,916822
10,1,1e-08,0.01,8,83197,30.39385280666667,3.7992316008333336,822022
10,1,1.389495494373136e-08,0.01,8,81372,29.72713975111111,3.715892468888889,822022
10,1,1.9306977288832496e-08,0.01,9,79519,32.6814723825,3.6312747091666666,815366
